datahora;nome_drs;pacientes_uti_mm7d;total_covid_uti_mm7d;ocupacao_leitos;pop;leitos_pc;internacoes_7d;internacoes_7d_l;internacoes_7v7
11/06/2020;Grande SP Oeste;206,86;280,14;73,84;1858252;15,08;592;522;13,41
11/06/2020;Grande SP Sudeste;506,86;786,43;64,45;2690590;29,23;1299;1240;4,76
11/06/2020;Grande SP Sudoeste;80,71;107,86;74,83;1138499;9,47;287;271;5,9
11/06/2020;DRS 02 Araçatuba;17,57;65;27,03;764041;8,51;84;79;6,33
11/06/2020;DRS 03 Araraquara;24,86;74,43;33,4;991435;7,51;151;139;8,63
11/06/2020;DRS 04 Baixada Santista;274,57;421,71;65,11;1831884;23,02;577;623;-7,38
11/06/2020;DRS 05 Barretos;19,86;54,86;36,2;425090;12,91;97;55;76,36
11/06/2020;DRS 06 Bauru;54,29;119,14;45,57;1741281;6,84;282;226;24,78
11/06/2020;DRS 07 Campinas;432,71;640;67,61;4562125;14,03;1096;935;17,22
11/06/2020;DRS 08 Franca;14,71;34,71;42,38;696336;4,98;44;42;4,76
11/06/2020;DRS 09 Marília;24,57;108,14;22,72;1109670;9,75;127;126;0,79
11/06/2020;DRS 10 Piracicaba;82,43;135,43;60,87;1539600;8,8;214;163;31,29
11/06/2020;DRS 11 Presidente Prudente;22,86;42,14;54,25;752260;5,6;75;52;44,23
11/06/2020;DRS 12 Registro;7,71;27;28,56;278754;9,69;18;19;-5,26
11/06/2020;DRS 13 Ribeirão Preto;97,14;153,29;63,37;1477530;10,37;387;283;36,75
11/06/2020;DRS 14 São João da Boa Vista;21,86;82,57;26,47;809836;10,2;115;97;18,56
11/06/2020;DRS 15 São José do Rio Preto;91,14;252,86;36,04;1570421;16,1;337;266;26,69
11/06/2020;DRS 16 Sorocaba;114,86;174,14;65,96;2461760;7,07;313;263;19,01
11/06/2020;DRS 17 Taubaté;147,57;293,14;50,34;2489629;11,77;405;329;23,1
11/06/2020;Estado de São Paulo;5253,86;7897,57;66,53;44639899;17,69;13155;12244;7,44
12/06/2020;Município de São Paulo;2666,29;3564,43;74,8;11869660;30,03;5777;5713;1,12
12/06/2020;Grande SP Leste;308,43;435,29;70,86;2977781;14,62;750;688;9,01
12/06/2020;Grande SP Norte;70,43;101,57;69,34;603465;16,83;135;105;28,57
12/06/2020;Grande SP Oeste;212,43;291,29;72,93;1858252;15,68;606;507;19,53
12/06/2020;Grande SP Sudeste;509;793,57;64,14;2690590;29,49;1304;1252;4,15
12/06/2020;Grande SP Sudoeste;79,86;106,86;74,73;1138499;9,39;277;275;0,73
12/06/2020;DRS 02 Araçatuba;18;65;27,69;764041;8,51;80;90;-11,11
12/06/2020;DRS 03 Araraquara;24,86;76,57;32,47;991435;7,72;147;135;8,89
12/06/2020;DRS 04 Baixada Santista;275,29;429,43;64,11;1831884;23,44;582;607;-4,12
12/06/2020;DRS 05 Barretos;22,14;54,71;40,47;425090;12,87;92;68;35,29
12/06/2020;DRS 06 Bauru;56,14;121,14;46,34;1741281;6,96;295;237;24,47
12/06/2020;DRS 07 Campinas;450,43;653,29;68,95;4562125;14,32;1090;964;13,07
12/06/2020;DRS 08 Franca;14,57;35,29;41,29;696336;5,07;50;42;19,05
12/06/2020;DRS 09 Marília;27;109,57;24,64;1109670;9,87;136;129;5,43
12/06/2020;DRS 10 Piracicaba;83,43;139;60,02;1539600;9,03;239;176;35,8
12/06/2020;DRS 11 Presidente Prudente;23,86;42,29;56,42;752260;5,62;77;58;32,76
12/06/2020;DRS 12 Registro;7,29;27;27;278754;9,69;20;18;11,11
12/06/2020;DRS 13 Ribeirão Preto;100,71;154,29;65,27;1477530;10,44;405;299;35,45
12/06/2020;DRS 14 São João da Boa Vista;22,14;82,57;26,81;809836;10,2;120;96;25
12/06/2020;DRS 15 São José do Rio Preto;92,29;254;36,33;1570421;16,17;339;276;22,83
12/06/2020;DRS 16 Sorocaba;117,14;176,71;66,29;2461760;7,18;336;247;36,03
12/06/2020;DRS 17 Taubaté;151,43;295,86;51,18;2489629;11,88;406;349;16,33
12/06/2020;Estado de São Paulo;5333,14;8009,71;66,58;44639899;17,94;13263;12331;7,56
13/06/2020;Município de São Paulo;2688,71;3616;74,36;11869660;30,46;5759;5667;1,62
13/06/2020;Grande SP Leste;311,29;441,57;70,5;2977781;14,83;726;720;0,83
13/06/2020;Grande SP Norte;73,71;106,57;69,17;603465;17,66;130;108;20,37
13/06/2020;Grande SP Oeste;220;300,29;73,26;1858252;16,16;634;510;24,31
13/06/2020;Grande SP Sudeste;511,29;797,29;64,13;2690590;29,63;1296;1301;-0,38
13/06/2020;Grande SP Sudoeste;78,14;107,29;72,83;1138499;9,42;267;276;-3,26
13/06/2020;DRS 02 Araçatuba;19,29;65,14;29,61;764041;8,53;85;91;-6,59
13/06/2020;DRS 03 Araraquara;25;78,57;31,82;991435;7,92;155;141;9,93
13/06/2020;DRS 04 Baixada Santista;276,43;432,14;63,97;1831884;23,59;587;595;-1,34
13/06/2020;DRS 05 Barretos;24,29;54,57;44,51;425090;12,84;96;75;28
13/06/2020;DRS 06 Bauru;60;126;47,62;1741281;7,24;280;249;12,45
13/06/2020;DRS 07 Campinas;464,71;667,29;69,64;4562125;14,63;1073;980;9,49
13/06/2020;DRS 08 Franca;14,57;36;40,47;696336;5,17;47;47;0
13/06/2020;DRS 09 Marília;29,71;108,71;27,33;1109670;9,8;129;131;-1,53
13/06/2020;DRS 10 Piracicaba;84,43;140,86;59,94;1539600;9,15;257;194;32,47
13/06/2020;DRS 11 Presidente Prudente;25,14;42,71;58,86;752260;5,68;74;63;17,46
13/06/2020;DRS 12 Registro;6,71;27;24,85;278754;9,69;19;20;-5
