datahora;nome_drs;pacientes_uti_mm7d;total_covid_uti_mm7d;ocupacao_leitos;pop;leitos_pc;internacoes_7d;internacoes_7d_l;internacoes_7v7
25/01/2021;Grande SP Sudoeste;54,14;86,71;62,44;1138499;7,62;168;169;-0,59
25/01/2021;DRS 02 Araçatuba;71,71;116;61,82;764041;15,18;124;152;-18,42
25/01/2021;DRS 03 Araraquara;80,86;132,43;61,06;991435;13,36;257;256;0,39
25/01/2021;DRS 04 Baixada Santista;188;408;46,08;1831884;22,27;255;283;-9,89
25/01/2021;DRS 05 Barretos;73,29;94,29;77,73;425090;22,18;123;129;-4,65
25/01/2021;DRS 06 Bauru;203;236;86,02;1741281;13,55;497;479;3,76
25/01/2021;DRS 07 Campinas;512,29;733;69,89;4562125;16,07;940;960;-2,08
25/01/2021;DRS 08 Franca;90,57;108,57;83,42;696336;15,59;160;169;-5,33
25/01/2021;DRS 09 Marília;157,29;185,29;84,89;1109670;16,7;354;304;16,45
25/01/2021;DRS 10 Piracicaba;167,71;246;68,17;1539600;15,98;390;376;3,72
25/01/2021;DRS 11 Presidente Prudente;63,71;83,57;76,24;752260;11,11;170;205;-17,07
25/01/2021;DRS 12 Registro;20;49;40,82;278754;17,58;59;47;25,53
25/01/2021;DRS 13 Ribeirão Preto;191;242,71;78,69;1477530;16,43;402;391;2,81
25/01/2021;DRS 14 São João da Boa Vista;77,43;120,71;64,15;809836;14,91;174;183;-4,92
25/01/2021;DRS 15 São José do Rio Preto;273,71;372,57;73,47;1570421;23,72;557;562;-0,89
25/01/2021;DRS 16 Sorocaba;224,86;298,71;75,28;2461760;12,13;402;489;-17,79
25/01/2021;DRS 17 Taubaté;355,86;446,71;79,66;2489629;17,94;871;909;-4,18
25/01/2021;Estado de São Paulo;6110,43;8605,14;71,01;44639899;19,28;11539;12074;-4,43
26/01/2021;Município de São Paulo;2237,86;3065,71;73;11869660;25,83;3565;3920;-9,06
26/01/2021;Grande SP Leste;299,86;414,14;72,41;2977781;13,91;491;511;-3,91
26/01/2021;Grande SP Norte;31,29;52,86;59,19;603465;8,76;72;73;-1,37
26/01/2021;Grande SP Oeste;150;290,86;51,57;1858252;15,65;310;345;-10,14
26/01/2021;Grande SP Sudeste;581,43;836,14;69,54;2690590;31,08;1103;1152;-4,25
26/01/2021;Grande SP Sudoeste;55,29;88,86;62,22;1138499;7,81;162;171;-5,26
26/01/2021;DRS 02 Araçatuba;75,14;116;64,78;764041;15,18;122;139;-12,23
26/01/2021;DRS 03 Araraquara;82,43;133,71;61,65;991435;13,49;250;265;-5,66
26/01/2021;DRS 04 Baixada Santista;187,43;406,71;46,08;1831884;22,2;242;280;-13,57
26/01/2021;DRS 05 Barretos;72,14;94;76,74;425090;22,11;131;125;4,8
26/01/2021;DRS 06 Bauru;205,57;238,57;86,17;1741281;13,7;511;463;10,37
26/01/2021;DRS 07 Campinas;510,86;735,71;69,44;4562125;16,13;942;949;-0,74
26/01/2021;DRS 08 Franca;91;110,14;82,62;696336;15,82;162;168;-3,57
26/01/2021;DRS 09 Marília;159;187,71;84,71;1109670;16,92;356;325;9,54
26/01/2021;DRS 10 Piracicaba;169,57;250,14;67,79;1539600;16,25;400;387;3,36
26/01/2021;DRS 11 Presidente Prudente;62;82,86;74,83;752260;11,01;175;196;-10,71
26/01/2021;DRS 12 Registro;19,29;49;39,37;278754;17,58;54;49;10,2
26/01/2021;DRS 13 Ribeirão Preto;197,14;246,29;80,04;1477530;16,67;407;387;5,17
26/01/2021;DRS 14 São João da Boa Vista;76;120,57;63,03;809836;14,89;167;177;-5,65
26/01/2021;DRS 15 São José do Rio Preto;272,86;372,71;73,21;1570421;23,73;550;576;-4,51
26/01/2021;DRS 16 Sorocaba;225,57;302;74,69;2461760;12,27;417;490;-14,9
26/01/2021;DRS 17 Taubaté;363;451,14;80,46;2489629;18,12;865;926;-6,59
26/01/2021;Estado de São Paulo;6124,71;8645,86;70,84;44639899;19,37;11454;12074;-5,14
27/01/2021;Município de São Paulo;2218,86;3069,86;72,28;11869660;25,86;3464;3874;-10,58
27/01/2021;Grande SP Leste;296,29;415,71;71,27;2977781;13,96;484;525;-7,81
27/01/2021;Grande SP Norte;32,29;54,29;59,48;603465;9;68;69;-1,45
27/01/2021;Grande SP Oeste;149,14;293,14;50,88;1858252;15,78;302;337;-10,39
27/01/2021;Grande SP Sudeste;579,29;837,86;69,14;2690590;31,14;1078;1139;-5,36
27/01/2021;Grande SP Sudoeste;55,14;90,71;60,79;1138499;7,97;153;178;-14,04
